group,target,predictor,pearson,spearman,abs_spearman,n
AMPA/none,Gamma_h_to_s,Zin_50Hz_Mohm,-0.7917815502847694,-0.7319250547113999,0.7319250547113999,8
AMPA/none,Gamma_h_to_s,transfer_gain_50Hz,0.8084319310733273,0.7319250547113999,0.7319250547113999,8
AMPA/none,Gamma_h_to_s,electrotonic_distance_50Hz,-0.8118584296752789,-0.7319250547113999,0.7319250547113999,8
AMPA/none,Gamma_h_to_s,active_frozen_Zin_50Hz_Mohm,-0.7917815502847694,-0.7319250547113999,0.7319250547113999,8
AMPA/none,Gamma_h_to_s,active_frozen_transfer_gain_50Hz,0.8084319310733273,0.7319250547113999,0.7319250547113999,8
AMPA/none,Gamma_h_to_s,path_length_um,-0.73493539639285,-0.6343350474165466,0.6343350474165466,8
AMPA/none,Gamma_h_to_s,branch_order,-0.31176460034074077,-0.2519763153394848,0.2519763153394848,8
AMPA/none,Gamma_h_to_s,membrane_area_um2,-0.5048257988004764,-0.3903600291794133,0.3903600291794133,8
AMPA/none,Gamma_h_to_s,dendritic_capacitance_pF,-0.5048257988004764,-0.3903600291794133,0.3903600291794133,8
AMPA/none,Gamma_h_to_s,active_profile_channel_count,nan,nan,nan,8
AMPA/none,A_h_mV,R_neck_Mohm,0.8632646047174609,0.8117540630909456,0.8117540630909456,8
AMPA/none,A_h_mV,R_in_d_Mohm,0.7547788454977566,0.7319250547113999,0.7319250547113999,8
AMPA/none,A_h_mV,SMI,0.52912767936006,0.43124434601706485,0.43124434601706485,8
AMPA/none,A_h_mV,Zin_50Hz_Mohm,0.7558930566112397,0.7319250547113999,0.7319250547113999,8
AMPA/none,A_h_mV,transfer_gain_50Hz,-0.733069246438963,-0.7319250547113999,0.7319250547113999,8
AMPA/none,A_h_mV,electrotonic_distance_50Hz,0.7528901132483786,0.7319250547113999,0.7319250547113999,8
AMPA/none,A_h_mV,active_frozen_Zin_50Hz_Mohm,0.7558930566112397,0.7319250547113999,0.7319250547113999,8
AMPA/none,A_h_mV,active_frozen_transfer_gain_50Hz,-0.733069246438963,-0.7319250547113999,0.7319250547113999,8
AMPA/none,A_h_mV,path_length_um,0.6422471370348793,0.6343350474165466,0.6343350474165466,8
AMPA/none,A_h_mV,branch_order,0.2439355865078039,0.2519763153394848,0.2519763153394848,8
AMPA/none,A_h_mV,membrane_area_um2,0.40702291906565474,0.3903600291794133,0.3903600291794133,8
AMPA/none,A_h_mV,dendritic_capacitance_pF,0.40702291906565463,0.3903600291794133,0.3903600291794133,8
AMPA/none,A_h_mV,active_profile_channel_count,nan,nan,nan,8
AMPA/none,local_voltage_isolation,R_neck_Mohm,0.6820906864265617,0.6849174907329854,0.6849174907329854,8
AMPA/none,local_voltage_isolation,R_in_d_Mohm,-0.4215000146067205,-0.4879500364742666,0.4879500364742666,8
AMPA/none,local_voltage_isolation,SMI,0.9527172331357692,0.9385906354489059,0.9385906354489059,8
AMPA/none,local_voltage_isolation,Zin_50Hz_Mohm,-0.42210106128321145,-0.4879500364742666,0.4879500364742666,8
AMPA/none,local_voltage_isolation,transfer_gain_50Hz,0.4316177873120581,0.4879500364742666,0.4879500364742666,8
AMPA/none,local_voltage_isolation,electrotonic_distance_50Hz,-0.4321466704877781,-0.4879500364742666,0.4879500364742666,8
AMPA/none,local_voltage_isolation,active_frozen_Zin_50Hz_Mohm,-0.42210106128321145,-0.4879500364742666,0.4879500364742666,8
AMPA/none,local_voltage_isolation,active_frozen_transfer_gain_50Hz,0.4316177873120581,0.4879500364742666,0.4879500364742666,8
