condition,time_ms,V_h_mV,V_d_mV,V_s_mV,g_syn_nS
low,3.85,-70.0,-70.0,-70.0,0.0
low,3.8600000000000003,-70.0,-70.0,-70.0,0.0
low,3.87,-70.0,-70.0,-70.0,0.0
low,3.8800000000000003,-70.0,-70.0,-70.0,0.0
low,3.89,-70.0,-70.0,-70.0,0.0
low,3.9000000000000004,-70.0,-70.0,-70.0,0.0
low,3.91,-70.0,-70.0,-70.0,0.0
low,3.920000000000001,-70.0,-70.0,-70.0,0.0
low,3.93,-70.0,-70.0,-70.0,0.0
low,3.94,-70.0,-70.0,-70.0,0.0
low,3.95,-70.0,-70.0,-70.0,0.0
low,3.96,-70.0,-70.0,-70.0,0.0
low,3.9700000000000006,-70.0,-70.0,-70.0,0.0
low,3.98,-70.0,-70.0,-70.0,0.0
low,3.9900000000000007,-70.0,-70.0,-70.0,0.0
low,4.0,-70.0,-70.0,-70.0,0.0
low,4.010000000000001,-70.0,-70.0,-70.0,0.0
low,4.0200000000000005,-70.0,-70.0,-70.0,0.0
low,4.03,-70.0,-70.0,-70.0,0.0
low,4.04,-70.0,-70.0,-70.0,0.0
low,4.050000000000001,-70.0,-70.0,-70.0,0.0
low,4.0600000000000005,-70.0,-70.0,-70.0,0.0
low,4.07,-70.0,-70.0,-70.0,0.0
low,4.08,-70.0,-70.0,-70.0,0.0
low,4.090000000000001,-70.0,-70.0,-70.0,0.0
low,4.1000000000000005,-70.0,-70.0,-70.0,0.0
low,4.11,-70.0,-70.0,-70.0,0.0
low,4.12,-70.0,-70.0,-70.0,0.0
low,4.13,-70.0,-70.0,-70.0,0.0
low,4.140000000000001,-70.0,-70.0,-70.0,0.0
low,4.15,-70.0,-70.0,-70.0,0.0
low,4.16,-70.0,-70.0,-70.0,0.0
low,4.17,-70.0,-70.0,-70.0,0.0
low,4.180000000000001,-70.0,-70.0,-70.0,0.0
low,4.19,-70.0,-70.0,-70.0,0.0
low,4.2,-70.0,-70.0,-70.0,0.0
low,4.21,-70.0,-70.0,-70.0,0.0
low,4.220000000000001,-70.0,-70.0,-70.0,0.0
low,4.23,-70.0,-70.0,-70.0,0.0
low,4.240000000000001,-70.0,-70.0,-70.0,0.0
low,4.25,-70.0,-70.0,-70.0,0.0
low,4.260000000000001,-70.0,-70.0,-70.0,0.0
low,4.2700000000000005,-70.0,-70.0,-70.0,0.0
low,4.28,-70.0,-70.0,-70.0,0.0
low,4.29,-70.0,-70.0,-70.0,0.0
low,4.3,-70.0,-70.0,-70.0,0.0
low,4.3100000000000005,-70.0,-70.0,-70.0,0.0
low,4.32,-70.0,-70.0,-70.0,0.0
low,4.33,-70.0,-70.0,-70.0,0.0
low,4.34,-70.0,-70.0,-70.0,0.0
low,4.3500000000000005,-70.0,-70.0,-70.0,0.0
low,4.36,-70.0,-70.0,-70.0,0.0
low,4.370000000000001,-70.0,-70.0,-70.0,0.0
low,4.38,-70.0,-70.0,-70.0,0.0
low,4.390000000000001,-70.0,-70.0,-70.0,0.0
low,4.4,-70.0,-70.0,-70.0,0.0
low,4.410000000000001,-70.0,-70.0,-70.0,0.0
low,4.42,-70.0,-70.0,-70.0,0.0
low,4.430000000000001,-70.0,-70.0,-70.0,0.0
low,4.44,-70.0,-70.0,-70.0,0.0
low,4.45,-70.0,-70.0,-70.0,0.0
low,4.460000000000001,-70.0,-70.0,-70.0,0.0
low,4.47,-70.0,-70.0,-70.0,0.0
low,4.48,-70.0,-70.0,-70.0,0.0
low,4.49,-70.0,-70.0,-70.0,0.0
low,4.500000000000001,-70.0,-70.0,-70.0,0.0
low,4.51,-70.0,-70.0,-70.0,0.0
low,4.5200000000000005,-70.0,-70.0,-70.0,0.0
low,4.53,-70.0,-70.0,-70.0,0.0
low,4.540000000000001,-70.0,-70.0,-70.0,0.0
low,4.55,-70.0,-70.0,-70.0,0.0
low,4.5600000000000005,-70.0,-70.0,-70.0,0.0
low,4.57,-70.0,-70.0,-70.0,0.0
low,4.580000000000001,-70.0,-70.0,-70.0,0.0
low,4.590000000000001,-70.0,-70.0,-70.0,0.0
low,4.6000000000000005,-70.0,-70.0,-70.0,0.0
low,4.61,-70.0,-70.0,-70.0,0.0
low,4.62,-70.0,-70.0,-70.0,0.0
low,4.630000000000001,-70.0,-70.0,-70.0,0.0
low,4.64,-70.0,-70.0,-70.0,0.0
low,4.65,-70.0,-70.0,-70.0,0.0
low,4.66,-70.0,-70.0,-70.0,0.0
low,4.670000000000001,-70.0,-70.0,-70.0,0.0
low,4.68,-70.0,-70.0,-70.0,0.0
low,4.69,-70.0,-70.0,-70.0,0.0
low,4.7,-70.0,-70.0,-70.0,0.0
low,4.710000000000001,-70.0,-70.0,-70.0,0.0
low,4.720000000000001,-70.0,-70.0,-70.0,0.0
low,4.73,-70.0,-70.0,-70.0,0.0
low,4.74,-70.0,-70.0,-70.0,0.0
low,4.750000000000001,-70.0,-70.0,-70.0,0.0
low,4.760000000000001,-70.0,-70.0,-70.0,0.0
low,4.7700000000000005,-70.0,-70.0,-70.0,0.0
low,4.78,-70.0,-70.0,-70.0,0.0
low,4.79,-70.0,-70.0,-70.0,0.0
low,4.800000000000001,-70.0,-70.0,-70.0,0.0
low,4.81,-70.0,-70.0,-70.0,0.0
low,4.82,-70.0,-70.0,-70.0,0.0
low,4.83,-70.0,-70.0,-70.0,0.0
low,4.840000000000001,-70.0,-70.0,-70.0,0.0
low,4.8500000000000005,-70.0,-70.0,-70.0,0.0
low,4.86,-70.0,-70.0,-70.0,0.0
low,4.87,-70.0,-70.0,-70.0,0.0
low,4.880000000000001,-70.0,-70.0,-70.0,0.0
low,4.890000000000001,-70.0,-70.0,-70.0,0.0
low,4.9,-70.0,-70.0,-70.0,0.0
low,4.91,-70.0,-70.0,-70.0,0.0
