condition,time_ms,V_h_mV,V_d_mV,V_s_mV,g_syn_nS
intermediate,50.010000000000005,-69.41305628645252,-69.41316577051728,-69.48365334166907,9.090843262389797e-05
intermediate,50.02,-69.41324872685098,-69.41335786038645,-69.48377918211747,9.060590900130384e-05
intermediate,50.03000000000001,-69.41344106170013,-69.41354984586579,-69.48390501860823,9.03043921119639e-05
intermediate,50.04,-69.41363329111995,-69.41374172707144,-69.48403085108797,9.000387860568781e-05
intermediate,50.050000000000004,-69.41382541523028,-69.41393350411946,-69.48415667950337,8.970436514343312e-05
intermediate,50.06000000000001,-69.41401743415082,-69.41412517712563,-69.48428250380125,8.940584839726958e-05
intermediate,50.07,-69.41420934800098,-69.41431674620563,-69.48440832392852,8.910832505034153e-05
intermediate,50.080000000000005,-69.41440115690008,-69.41450821147494,-69.48453413983219,8.881179179683048e-05
intermediate,50.09,-69.41459286096719,-69.41469957304885,-69.4846599514594,8.85162453419201e-05
intermediate,50.10000000000001,-69.41478446032123,-69.41489083104253,-69.4847857587574,8.822168240175732e-05
intermediate,50.11,-69.4149759550809,-69.41508198557094,-69.48491156167353,8.792809970341793e-05
intermediate,50.120000000000005,-69.41516734536476,-69.41527303674883,-69.48503736015525,8.763549398486858e-05
intermediate,50.13,-69.41535863129123,-69.41546398469087,-69.48516315415013,8.734386199493192e-05
intermediate,50.14,-69.41554981297836,-69.41565482951147,-69.48528894360584,8.70532004932492e-05
intermediate,50.150000000000006,-69.4157408905442,-69.41584557132494,-69.48541472847016,8.676350625024521e-05
intermediate,50.160000000000004,-69.41593186410654,-69.41603621024535,-69.48554050869096,8.647477604709249e-05
intermediate,50.17000000000001,-69.41612273378298,-69.41622674638664,-69.48566628421626,8.618700667567423e-05
intermediate,50.18,-69.41631349969101,-69.41641717986259,-69.48579205499415,8.590019493855036e-05
intermediate,50.190000000000005,-69.41650416194781,-69.41660751078676,-69.48591782097284,8.561433764892047e-05
intermediate,50.2,-69.41669472067052,-69.41679773927261,-69.48604358210062,8.532943163058988e-05
intermediate,50.21000000000001,-69.41688517597598,-69.41698786543336,-69.48616933832594,8.504547371793276e-05
intermediate,50.22,-69.41707552798091,-69.41717788938209,-69.4862950895973,8.476246075585903e-05
intermediate,50.230000000000004,-69.41726577680184,-69.41736781123173,-69.48642083586336,8.448038959977638e-05
intermediate,50.24000000000001,-69.41745592255509,-69.417557631095,-69.48654657707283,8.41992571155586e-05
intermediate,50.25,-69.41764596535685,-69.4177473490845,-69.48667231317457,8.391906017950847e-05
intermediate,50.260000000000005,-69.41783590532309,-69.4179369653126,-69.48679804411755,8.363979567832358e-05
intermediate,50.27,-69.4180257425696,-69.41812647989158,-69.4869237698508,8.33614605090624e-05
intermediate,50.28000000000001,-69.41821547721202,-69.41831589293348,-69.48704949032347,8.308405157910867e-05
intermediate,50.29,-69.41840510936576,-69.41850520455017,-69.48717520548485,8.280756580613866e-05
intermediate,50.300000000000004,-69.41859463914614,-69.41869441485343,-69.4873009152843,8.253200011808493e-05
intermediate,50.31000000000001,-69.41878406666818,-69.4188835239548,-69.48742661967128,8.225735145310387e-05
intermediate,50.32,-69.41897339204681,-69.4190725319657,-69.48755231859536,8.198361675954089e-05
intermediate,50.330000000000005,-69.41916261539673,-69.41926143899731,-69.48767801200627,8.171079299589634e-05
intermediate,50.34,-69.4193517368325,-69.41945024516072,-69.48780369985374,8.143887713079253e-05
intermediate,50.35000000000001,-69.41954075646852,-69.41963895056683,-69.4879293820877,8.116786614293884e-05
intermediate,50.36,-69.41972967441892,-69.41982755532638,-69.48805505865813,8.089775702109987e-05
intermediate,50.370000000000005,-69.41991849079773,-69.42001605954988,-69.48818072951511,8.062854676405993e-05
intermediate,50.38,-69.42010720571881,-69.42020446334777,-69.48830639460884,8.036023238059148e-05
intermediate,50.39000000000001,-69.4202958192958,-69.42039276683029,-69.48843205388965,8.009281088942054e-05
intermediate,50.400000000000006,-69.42048433164217,-69.42058097010748,-69.48855770730796,7.982627931919458e-05
intermediate,50.410000000000004,-69.42067274287123,-69.42076907328924,-69.48868335481421,7.956063470844913e-05
intermediate,50.42000000000001,-69.4208610530961,-69.4209570764853,-69.48880899635908,7.929587410557424e-05
intermediate,50.43,-69.42104926242973,-69.42114497980523,-69.48893463189324,7.903199456878327e-05
intermediate,50.440000000000005,-69.42123737098491,-69.42133278335848,-69.48906026136753,7.876899316607823e-05
intermediate,50.45,-69.42142537887423,-69.42152048725424,-69.48918588473285,7.85068669752189e-05
intermediate,50.46000000000001,-69.42161328621012,-69.42170809160162,-69.48931150194024,7.824561308368903e-05
intermediate,50.47,-69.42180109310485,-69.42189559650951,-69.48943711294079,7.798522858866527e-05
intermediate,50.480000000000004,-69.42198879967043,-69.4220830020867,-69.48956271768573,7.772571059698352e-05
intermediate,50.49000000000001,-69.42217640601883,-69.42227030844171,-69.48968831612639,7.746705622510794e-05
intermediate,50.5,-69.42236391226176,-69.42245751568302,-69.48981390821422,7.720926259909878e-05
intermediate,50.510000000000005,-69.42255131851073,-69.42264462391887,-69.48993949390069,7.695232685457936e-05
intermediate,50.52,-69.42273862487717,-69.42283163325739,-69.4900650731375,7.669624613670572e-05
intermediate,50.53000000000001,-69.42292583147227,-69.42301854380646,-69.49019064587632,7.644101760013363e-05
intermediate,50.54,-69.42311293840709,-69.4232053556739,-69.490316212069,7.61866384089881e-05
intermediate,50.550000000000004,-69.42329994579242,-69.4233920689673,-69.49044177166743,7.593310573683065e-05
intermediate,50.56,-69.42348685373904,-69.42357868379413,-69.49056732462371,7.568041676662954e-05
intermediate,50.57000000000001,-69.42367366235737,-69.42376520026168,-69.4906928708899,7.542856869072653e-05
intermediate,50.580000000000005,-69.42386037175787,-69.42395161847708,-69.49081841041826,7.517755871080721e-05
intermediate,50.59,-69.42404698205061,-69.42413793854728,-69.49094394316107,7.492738403786933e-05
intermediate,50.60000000000001,-69.42423349334565,-69.42432416057909,-69.49106946907082,7.467804189219152e-05
intermediate,50.61,-69.4244199057528,-69.42451028467916,-69.4911949881,7.442952950330314e-05
intermediate,50.620000000000005,-69.4246062193817,-69.42469631095399,-69.49132050020125,7.41818441099525e-05
intermediate,50.63,-69.4247924343419,-69.4248822395099,-69.49144600532728,7.393498296007763e-05
intermediate,50.64000000000001,-69.42497855074268,-69.42506807045307,-69.4915715034309,7.368894331077395e-05
intermediate,50.650000000000006,-69.42516456869319,-69.42525380388948,-69.49169699446507,7.34437224282652e-05
intermediate,50.660000000000004,-69.42535048830241,-69.42543943992499,-69.49182247838279,7.319931758787247e-05
intermediate,50.67000000000001,-69.42553630967917,-69.4256249786653,-69.49194795513718,7.295572607398365e-05
intermediate,50.68,-69.42572203293209,-69.42581042021594,-69.49207342468144,7.271294518002414e-05
intermediate,50.690000000000005,-69.42590765816966,-69.4259957646823,-69.49219888696886,7.247097220842556e-05
intermediate,50.7,-69.42609318550018,-69.42618101216955,-69.49232434195291,7.222980447059737e-05
intermediate,50.71000000000001,-69.42627861503178,-69.42636616278277,-69.49244978958704,7.198943928689515e-05
intermediate,50.72,-69.42646394687245,-69.42655121662689,-69.4925752298249,7.174987398659246e-05
intermediate,50.730000000000004,-69.42664918112996,-69.4267361738066,-69.49270066262017,7.151110590784986e-05
intermediate,50.74000000000001,-69.42683431791197,-69.4269210344265,-69.49282608792664,7.12731323976864e-05
intermediate,50.75,-69.42701935732593,-69.42710579859104,-69.49295150569822,7.103595081194961e-05
intermediate,50.760000000000005,-69.42720429947914,-69.42729046640447,-69.49307691588889,7.079955851528579e-05
intermediate,50.77,-69.42738914447877,-69.42747503797094,-69.49320231845276,7.056395288111187e-05
intermediate,50.78000000000001,-69.42757389243174,-69.42765951339435,-69.49332771334399,7.03291312915847e-05
intermediate,50.79,-69.42775854344487,-69.42784389277854,-69.49345310051687,7.009509113757332e-05
intermediate,50.800000000000004,-69.42794309762478,-69.42802817622714,-69.49357847992576,6.986182981862896e-05
intermediate,50.81,-69.42812755507799,-69.42821236384368,-69.49370385152517,6.962934474295697e-05
intermediate,50.82000000000001,-69.42831191591075,-69.42839645573146,-69.49382921526966,6.939763332738714e-05
intermediate,50.830000000000005,-69.42849618022925,-69.42858045199365,-69.49395457111386,6.916669299734616e-05
intermediate,50.84,-69.42868034813938,-69.42876435273331,-69.49407991901258,6.893652118682795e-05
intermediate,50.85000000000001,-69.42886441974703,-69.42894815805327,-69.49420525892063,6.870711533836538e-05
intermediate,50.86,-69.42904839515782,-69.42913186805627,-69.49433059079297,6.847847290300243e-05
intermediate,50.870000000000005,-69.42923227447723,-69.42931548284488,-69.49445591458463,6.825059134026504e-05
intermediate,50.88,-69.42941605781056,-69.42949900252148,-69.49458123025079,6.80234681181337e-05
intermediate,50.89000000000001,-69.429599745263,-69.42968242718835,-69.49470653774665,6.779710071301439e-05
intermediate,50.9,-69.42978333693952,-69.42986575694758,-69.49483183702755,6.757148660971183e-05
intermediate,50.910000000000004,-69.42996683294497,-69.43004899190113,-69.4949571280489,6.73466233014e-05
intermediate,50.92000000000001,-69.43015023338398,-69.43023213215078,-69.49508241076623,6.71225082895955e-05
intermediate,50.93,-69.43033353836111,-69.43041517779817,-69.49520768513513,6.689913908412933e-05
intermediate,50.940000000000005,-69.43051674798063,-69.43059812894477,-69.49533295111132,6.667651320311894e-05
intermediate,50.95,-69.43069986234677,-69.43078098569195,-69.49545820865058,6.645462817294131e-05
intermediate,50.96000000000001,-69.43088288156353,-69.4309637481409,-69.4955834577088,6.623348152820461e-05
intermediate,50.97,-69.43106580573479,-69.43114641639262,-69.49570869824198,6.60130708117221e-05
intermediate,50.980000000000004,-69.43124863496422,-69.43132899054804,-69.49583393020619,6.579339357448322e-05
intermediate,50.99000000000001,-69.43143136935537,-69.43151147070783,-69.49595915355758,6.557444737562758e-05
intermediate,51.00000000000001,-69.4316140090116,-69.4316938569726,-69.49608436825244,6.535622978241756e-05
intermediate,51.010000000000005,-69.43179655403613,-69.43187614944279,-69.49620957424712,6.51387383702107e-05
intermediate,51.02,-69.43197900453204,-69.43205834821865,-69.49633477149803,6.492197072243379e-05
intermediate,51.03000000000001,-69.43216136060218,-69.4322404534003,-69.49645995996173,6.470592443055482e-05
intermediate,51.04,-69.43234362234934,-69.43242246508775,-69.49658513959486,6.449059709405767e-05
intermediate,51.050000000000004,-69.43252578987604,-69.4326043833808,-69.4967103103541,6.427598632041383e-05
intermediate,51.06,-69.43270786328475,-69.43278620837916,-69.49683547219632,6.406208972505717e-05
intermediate,51.07000000000001,-69.43288984267768,-69.4329679401823,-69.49696062507839,6.38489049313564e-05
intermediate,51.080000000000005,-69.43307172815693,-69.43314957888963,-69.49708576895732,6.363642957058953e-05
intermediate,51.09,-69.43325351982448,-69.43333112460037,-69.49721090379018,6.342466128191713e-05
