condition,time_ms,V_h_mV,V_d_mV,V_s_mV,g_syn_nS
high,30.44,-67.90225717694027,-68.70591615385604,-69.51202250869798,0.06189446884339361
high,30.450000000000003,-67.90561626694947,-68.70664118808426,-69.51173872045108,0.061688497423662836
high,30.46,-67.90896681114442,-68.70736620869847,-69.5114555722071,0.06148321143231583
high,30.470000000000002,-67.91230883347663,-68.7080912126471,-69.5111730634047,0.061278608588395005
high,30.480000000000004,-67.91564235783092,-68.70881619689352,-69.51089119348134,0.061074686618533436
high,30.490000000000002,-67.91896740802574,-68.70954115841587,-69.5106099618734,0.06087144325692932
high,30.500000000000004,-67.9222840078132,-68.71026609420704,-69.51032936801603,0.06066887624532094
high,30.51,-67.9255921808793,-68.71099100127458,-69.51004941134329,0.06046698333296171
high,30.520000000000003,-67.92889195084408,-68.71171587664071,-69.50977009128806,0.060265762276594914
high,30.53,-67.93218334126175,-68.71244071734223,-69.50949140728213,0.060065210840429005
high,30.540000000000003,-67.93546637562095,-68.71316552043045,-69.50921335875616,0.059865326796112575
high,30.55,-67.93874107734483,-68.7138902829712,-69.5089359451397,0.05966610792270981
high,30.560000000000002,-67.94200746979125,-68.71461500204468,-69.5086591658612,0.059467552006675514
high,30.570000000000004,-67.94526557625287,-68.71533967474547,-69.50838302034802,0.05926965684183093
high,30.580000000000002,-67.94851541995746,-68.71606429818247,-69.50810750802646,0.05907242022933882
high,30.590000000000003,-67.95175702406792,-68.71678886947889,-69.50783262832171,0.0588758399776792
high,30.6,-67.95499041168253,-68.71751338577208,-69.50755838065791,0.05867991390262507
high,30.610000000000003,-67.9582156058351,-68.71823784421358,-69.50728476445818,0.05848463982721799
high,30.62,-67.96143262949505,-68.71896224196904,-69.50701177914452,0.05829001558174403
high,30.630000000000003,-67.96464150556774,-68.71968657621815,-69.50673942413796,0.05809603900370954
high,30.640000000000004,-67.96784225689447,-68.72041084415461,-69.50646769885847,0.057902707937817176
high,30.650000000000002,-67.97103490625267,-68.72113504298609,-69.50619660272501,0.0577100202359421
high,30.660000000000004,-67.97421947635617,-68.72185916993412,-69.50592613515552,0.05751797375710785
high,30.67,-67.97739598985528,-68.7225832222341,-69.50565629556694,0.05732656636746261
high,30.680000000000003,-67.98056446933687,-68.72330719713523,-69.50538708337518,0.05713579594025571
high,30.69,-67.98372493732472,-68.72403109190043,-69.50511849799521,0.056945660355813714
high,30.700000000000003,-67.98687741627957,-68.72475490380633,-69.50485053884104,0.0567561575015171
high,30.71,-67.99002192859919,-68.72547863014321,-69.5045832053256,0.05656728527177663
high,30.720000000000006,-67.99315849661875,-68.7262022682149,-69.50431649686097,0.05637904156800997
high,30.730000000000004,-67.9962871426108,-68.72692581533886,-69.50405041285822,0.05619142429861863
high,30.740000000000002,-67.99940788878554,-68.72764926884595,-69.5037849527275,0.05600443137896422
high,30.750000000000004,-68.00252075729091,-68.7283726260805,-69.50352011587803,0.05581806073134579
high,30.76,-68.0056257702128,-68.72909588440027,-69.50325590171803,0.055632310284976394
high,30.770000000000003,-68.00872294957514,-68.72981904117628,-69.50299230965489,0.055447177975960306
high,30.78,-68.01181231734016,-68.73054209379295,-69.502729339095,0.05526266174726993
high,30.790000000000003,-68.01489389540843,-68.73126503964782,-69.50246698944393,0.05507875954872307
high,30.8,-68.01796770561911,-68.73198787615172,-69.50220526010627,0.05489546933696009
