n,group,target,rank,predictor,pearson,spearman,abs_spearman,bootstrap_abs_spearman_p05,bootstrap_abs_spearman_p95,cv_rmse,model
768,passive,Gamma_h_to_d,7,a_type_density_scale,0.05121965666308488,0.05679675300895353,0.05679675300895353,0.01224324615658436,0.12147071952390937,0.05941380936376496,univariate_linear
768,passive,Gamma_h_to_d,8,kdr_density_scale,-0.04637340574546504,-0.050024408805692554,0.050024408805692554,0.009447943561498185,0.10054258979656681,0.05940341388958598,univariate_linear
768,passive,Gamma_h_to_s,1,active_transfer_gain_50Hz,0.691828638584956,0.6711342852008145,0.6711342852008145,0.6305898492657251,0.7086485025258844,0.007639798676597949,univariate_linear
768,passive,Gamma_h_to_s,2,transfer_gain_50Hz,0.691782619665729,0.6711206158457707,0.6711206158457707,0.6305730273667468,0.7086746096052042,0.007640268102013897,univariate_linear
768,passive,Gamma_h_to_s,3,electrotonic_distance_50Hz,-0.6876804740932783,-0.6711206158457707,0.6711206158457707,0.6305730273667468,0.7086746096052042,0.0076821227127554246,univariate_linear
768,passive,Gamma_h_to_s,4,Ztransfer_50Hz_Mohm,0.667612465726031,0.648351285046531,0.648351285046531,0.604920131224046,0.6862461467355608,0.007879708196345626,univariate_linear
768,passive,Gamma_h_to_s,5,SMI,-0.6421658915966401,-0.6456772042205882,0.6456772042205882,0.6086854324479017,0.6777400710667727,0.008108181371512107,univariate_linear
768,passive,Gamma_h_to_s,6,membrane_capacitance_scale,-0.6450605562448758,-0.6357259932216953,0.6357259932216953,0.5920232879854405,0.6747530978555006,0.008089379384616168,univariate_linear
768,passive,Gamma_h_to_s,7,membrane_leak_scale,-0.5251142455665571,-0.5228617314007762,0.5228617314007762,0.4757718996897095,0.5728466181349335,0.00900230074787819,univariate_linear
768,passive,Gamma_h_to_s,8,R_in_d_Mohm,0.5091412854016508,0.5228507641275434,0.5228507641275434,0.4757718996897095,0.5727850857508788,0.009102301190299818,univariate_linear
768,passive,A_h_mV,1,synaptic_conductance_scale,0.9782101526339279,0.9835271556043084,0.9835271556043084,0.9813865204049899,0.98514959844245,0.9837304245189399,univariate_linear
768,passive,A_h_mV,2,SMI,0.23557703211139103,0.2199705727396185,0.2199705727396185,0.16507563371308992,0.28393480831363693,4.6108550630567935,univariate_linear
768,passive,A_h_mV,3,R_neck_Mohm,0.21209186738218652,0.20169734712786716,0.20169734712786716,0.1475844225124606,0.26414934322488204,4.635633853874889,univariate_linear
768,passive,A_h_mV,4,active_dynamic_SMI_abs_50Hz,0.21014447314892934,0.1998502887730726,0.1998502887730726,0.14643493122603293,0.26216274043173166,4.637508591091194,univariate_linear
768,passive,A_h_mV,5,dynamic_SMI_abs_50Hz,0.2101857888484225,0.19978668388652188,0.19978668388652188,0.1462916484724653,0.2617864186420994,4.637496823945607,univariate_linear
