group,target,predictor,pearson,spearman,abs_spearman,bootstrap_abs_spearman_p05,bootstrap_abs_spearman_p95,cv_rmse,n,model
passive,local_voltage_isolation,synaptic_conductance_scale,-0.03168173934801026,-0.02894736842105263,0.02894736842105263,0.009713203672515748,0.22171214917243476,0.060825804214856755,96,univariate_linear
passive,local_voltage_isolation,nmda_fraction,-0.19034344996678063,-0.19087086272381987,0.19087086272381987,0.03278542171059895,0.3486424878895409,0.060148143820571924,96,univariate_linear
passive,local_voltage_isolation,hcn_density_scale,-0.05125805406240093,0.009088442756375475,0.009088442756375475,0.007574340624396943,0.20780099464890825,0.0607626317727354,96,univariate_linear
passive,local_voltage_isolation,na_density_scale,-0.08535831838712328,-0.038510580575149216,0.038510580575149216,0.010473586346640928,0.24343724443189274,0.06034650921942844,96,univariate_linear
passive,local_voltage_isolation,kdr_density_scale,0.06577307288716,0.1008410200759631,0.1008410200759631,0.008711827800051412,0.2770620933531634,0.06039031288725576,96,univariate_linear
passive,local_voltage_isolation,a_type_density_scale,0.059569955557523,0.12569180683667933,0.12569180683667933,0.01076600267612855,0.28505892931479593,0.0601800942111483,96,univariate_linear
passive,local_voltage_isolation,calcium_density_scale,0.04393750411951963,0.045781334780249594,0.045781334780249594,0.004309366955526613,0.24234153481286325,0.060850011213714944,96,univariate_linear
passive,local_voltage_isolation,active_Zin_50Hz_Mohm,-0.07067562518440283,-0.0833288117200217,0.0833288117200217,0.006532417005308301,0.23316797226949343,0.06036106266363493,96,univariate_linear
passive,local_voltage_isolation,active_transfer_gain_50Hz,-0.06344050827041055,-0.07798426478567552,0.07798426478567552,0.008004391042708508,0.24846504868176095,0.06182821022691776,96,univariate_linear
passive,local_voltage_isolation,active_dynamic_SMI_abs_50Hz,0.9950478186465133,0.9997287032013022,0.9997287032013022,0.9989263790502748,0.9998927947821395,0.006395101356568445,96,univariate_linear
active,active_Gamma_h_to_d,R_neck_Mohm,-0.9948109372843617,-0.9979924036896365,0.9979924036896365,0.9940761968088516,0.9991050148023137,0.006395143896161691,96,univariate_linear
active,active_Gamma_h_to_d,R_in_d_Mohm,0.039592119171689415,0.020740640260444927,0.020740640260444927,0.006078614192371746,0.20473209633837441,0.060182181899222115,96,univariate_linear
active,active_Gamma_h_to_d,SMI,-0.9335424660562687,-0.9140124796527401,0.9140124796527401,0.8679304483518844,0.941634566734902,0.021764042373873475,96,univariate_linear
active,active_Gamma_h_to_d,Zin_50Hz_Mohm,0.07263596350437085,0.07219207813347803,0.07219207813347803,0.0062819109244091976,0.21958709192225087,0.06019922935391118,96,univariate_linear
active,active_Gamma_h_to_d,Ztransfer_50Hz_Mohm,0.06415451939252458,0.07909658166033641,0.07909658166033641,0.00998584306360078,0.24327209589726123,0.06155849145895549,96,univariate_linear
active,active_Gamma_h_to_d,transfer_gain_50Hz,0.06216616770032786,0.07532555615843733,0.07532555615843733,0.008504565114695509,0.2450424155798577,0.06163694634124904,96,univariate_linear
active,active_Gamma_h_to_d,electrotonic_distance_50Hz,-0.0652221275260477,-0.07532555615843733,0.07532555615843733,0.008504565114695509,0.2450424155798577,0.06156379377775965,96,univariate_linear
active,active_Gamma_h_to_d,dynamic_SMI_abs_50Hz,-0.9948132359457366,-0.9979788388497016,0.9979788388497016,0.9943812104415486,0.9989287046077241,0.006424176519959951,96,univariate_linear
active,active_Gamma_h_to_d,neck_radius_um,0.591686428018655,0.5586001085187194,0.5586001085187194,0.39262799520136704,0.6588086854351753,0.048551811595339715,96,univariate_linear
active,active_Gamma_h_to_d,neck_length_um,-0.6639645740299004,-0.7056565382528486,0.7056565382528486,0.5917941166765535,0.8016642311771004,0.04519832395570323,96,univariate_linear
active,active_Gamma_h_to_d,head_diameter_um,0.052114646715235684,0.05375746066196419,0.05375746066196419,0.009188764633190454,0.21767833768137718,0.060880619165197686,96,univariate_linear
active,active_Gamma_h_to_d,dendritic_area_scale,-0.06162022651093601,-0.047002170374389585,0.047002170374389585,0.008006155771601265,0.2388460651132493,0.0608742613185527,96,univariate_linear
active,active_Gamma_h_to_d,membrane_capacitance_scale,-0.06542171202200159,-0.08373575691806837,0.08373575691806837,0.005608202955977212,0.24882275185821084,0.061585521110337174,96,univariate_linear
active,active_Gamma_h_to_d,membrane_leak_scale,-0.03579149318975844,-0.020740640260444927,0.020740640260444927,0.006078614192371746,0.20473209633837441,0.060315996207410204,96,univariate_linear
active,active_Gamma_h_to_d,synaptic_conductance_scale,0.05464513530752698,0.05043407487791644,0.05043407487791644,0.008349775632829633,0.23904144040271502,0.060518662177720256,96,univariate_linear
active,active_Gamma_h_to_d,nmda_fraction,0.19292162295433318,0.1939365165491047,0.1939365165491047,0.039257598477886464,0.35073953495467564,0.059921536079518736,96,univariate_linear
active,active_Gamma_h_to_d,hcn_density_scale,0.0517828564659363,-0.0010851871947911015,0.0010851871947911015,0.006786130325520654,0.19207295473674743,0.06049245572289916,96,univariate_linear
active,active_Gamma_h_to_d,na_density_scale,0.10027359513692141,0.05477482365708085,0.05477482365708085,0.007335400312868504,0.2558426120854109,0.06005482842715006,96,univariate_linear
active,active_Gamma_h_to_d,kdr_density_scale,-0.06641732529055787,-0.10535811177428106,0.10535811177428106,0.009371620864017462,0.27408515637956926,0.060190331041627354,96,univariate_linear
active,active_Gamma_h_to_d,a_type_density_scale,-0.0631643533709254,-0.12664134563212154,0.12664134563212154,0.012386239532190571,0.2846445366369828,0.059952297312912094,96,univariate_linear
active,active_Gamma_h_to_d,calcium_density_scale,-0.0459902145895445,-0.0415491047205643,0.0415491047205643,0.005072113286041823,0.2390621942641084,0.06064173370490922,96,univariate_linear
active,active_Gamma_h_to_d,active_Zin_50Hz_Mohm,0.07260279587862987,0.08437330439500813,0.08437330439500813,0.006962724107965995,0.2336224552769496,0.0601722439966323,96,univariate_linear
active,active_Gamma_h_to_d,active_transfer_gain_50Hz,0.062163314776191116,0.07532555615843733,0.07532555615843733,0.008504565114695509,0.2450424155798577,0.06163714120321752,96,univariate_linear
active,active_Gamma_h_to_d,active_dynamic_SMI_abs_50Hz,-0.994891768545727,-0.9979110146500272,0.9979110146500272,0.994373583026878,0.9989558333037183,0.006370892139260706,96,univariate_linear
active,active_Gamma_h_to_s,R_neck_Mohm,-0.5613765208479677,-0.5652061855670103,0.5652061855670103,0.4149675394584105,0.6908384607802951,0.009609898106307555,96,univariate_linear
active,active_Gamma_h_to_s,R_in_d_Mohm,0.5337859802959503,0.4955507325013565,0.4955507325013565,0.37506913610903386,0.610893050274589,0.009741102769385897,96,univariate_linear
active,active_Gamma_h_to_s,SMI,-0.6773452440817466,-0.6964324470971243,0.6964324470971243,0.5884364525833243,0.7774443771788598,0.008547146212522921,96,univariate_linear
active,active_Gamma_h_to_s,Zin_50Hz_Mohm,-0.007714708974421591,-0.004069451980466631,0.004069451980466631,0.009332066229420705,0.1983977215471033,0.011508657923114788,96,univariate_linear
active,active_Gamma_h_to_s,Ztransfer_50Hz_Mohm,0.5683795923886074,0.5174308193163321,0.5174308193163321,0.36613177401396285,0.6502394983510968,0.009537251399496363,96,univariate_linear
active,active_Gamma_h_to_s,transfer_gain_50Hz,0.5937598917354466,0.5343190450352686,0.5343190450352686,0.3820530061940523,0.6674301055925339,0.00934185936371389,96,univariate_linear
active,active_Gamma_h_to_s,electrotonic_distance_50Hz,-0.5957879602347762,-0.5343190450352686,0.5343190450352686,0.3820530061940523,0.6674301055925339,0.009319130232822898,96,univariate_linear
active,active_Gamma_h_to_s,dynamic_SMI_abs_50Hz,-0.5614595177535459,-0.565491047205643,0.565491047205643,0.4170493977799572,0.691312062259275,0.009608290184986327,96,univariate_linear
active,active_Gamma_h_to_s,neck_radius_um,0.3403010618754191,0.334875203472599,0.334875203472599,0.16285797328044507,0.4998200132640275,0.010834484505304661,96,univariate_linear
active,active_Gamma_h_to_s,neck_length_um,-0.42128912848053285,-0.42832338578404777,0.42832338578404777,0.2647843521770707,0.5774640305773207,0.010549167321631529,96,univariate_linear
active,active_Gamma_h_to_s,head_diameter_um,-0.12991835333307164,-0.12225990233315247,0.12225990233315247,0.016475429743801492,0.2943498675310598,0.011479997864056095,96,univariate_linear
active,active_Gamma_h_to_s,dendritic_area_scale,0.11613291617934976,0.10028486163863266,0.10028486163863266,0.007714163363031741,0.2709785005383193,0.011469193684480947,96,univariate_linear
active,active_Gamma_h_to_s,membrane_capacitance_scale,-0.5538446318896755,-0.5065518176885513,0.5065518176885513,0.3501940988908843,0.640380798815781,0.009659913296761635,96,univariate_linear
active,active_Gamma_h_to_s,membrane_leak_scale,-0.5042744589029498,-0.4955507325013565,0.4955507325013565,0.37506913610903386,0.610893050274589,0.00993004538843628,96,univariate_linear
active,active_Gamma_h_to_s,synaptic_conductance_scale,0.10370722790913127,0.15515463917525774,0.15515463917525774,0.028841224387014364,0.3187910061009945,0.011413171850603353,96,univariate_linear
active,active_Gamma_h_to_s,nmda_fraction,0.05803165908745602,0.09234943027672274,0.09234943027672274,0.008264152357697622,0.2323094386522594,0.011501670564653736,96,univariate_linear
active,active_Gamma_h_to_s,hcn_density_scale,0.155953815205444,0.17437601736299513,0.17437601736299513,0.015678725042604418,0.3268748008984458,0.011335961518742435,96,univariate_linear
active,active_Gamma_h_to_s,na_density_scale,0.014223720074274752,0.033016820401519265,0.033016820401519265,0.018900997930435284,0.2034675606041491,0.011536155385142079,96,univariate_linear
active,active_Gamma_h_to_s,kdr_density_scale,-0.19554377883387059,-0.13893109061313078,0.13893109061313078,0.011078457929898372,0.2802627643083125,0.011344359781475646,96,univariate_linear
active,active_Gamma_h_to_s,a_type_density_scale,-0.06371417218185611,-0.05638903960933261,0.05638903960933261,0.008137626952593579,0.24157056080854183,0.011528917880223814,96,univariate_linear
active,active_Gamma_h_to_s,calcium_density_scale,0.09834457577438468,0.1141209983722192,0.1141209983722192,0.007334713755092827,0.2807216281419276,0.011456337729094353,96,univariate_linear
active,active_Gamma_h_to_s,active_Zin_50Hz_Mohm,-0.010943958700526338,-0.017878459034183395,0.017878459034183395,0.008496205592418088,0.19713206940260383,0.011501067043772656,96,univariate_linear
active,active_Gamma_h_to_s,active_transfer_gain_50Hz,0.5938175443163435,0.5343190450352686,0.5343190450352686,0.3820530061940523,0.6674301055925339,0.009341418350518866,96,univariate_linear
active,active_Gamma_h_to_s,active_dynamic_SMI_abs_50Hz,-0.5614782386548246,-0.5645550732501357,0.5645550732501357,0.4169489820473326,0.6899880919441412,0.009607549446369,96,univariate_linear
active,active_A_h_mV,R_neck_Mohm,0.12874624807631635,0.11459576776994032,0.11459576776994032,0.011831264036408214,0.27133280934062887,5.057456466202804,96,univariate_linear
active,active_A_h_mV,R_in_d_Mohm,-0.019385132650187792,0.02774009766684753,0.02774009766684753,0.008100801229584025,0.2296006841711496,5.057743982805724,96,univariate_linear
active,active_A_h_mV,SMI,0.14120304991836466,0.09313619099294629,0.09313619099294629,0.008422812874022698,0.2705949602155645,5.052269727097025,96,univariate_linear
active,active_A_h_mV,Zin_50Hz_Mohm,0.015088012101844172,0.04437059142702116,0.04437059142702116,0.008897738349398571,0.23115976443768996,5.055724767835845,96,univariate_linear
active,active_A_h_mV,Ztransfer_50Hz_Mohm,-0.04448758950042309,-0.04042322300596853,0.04042322300596853,0.005137236837442269,0.21219667714705326,5.0329111635778805,96,univariate_linear
active,active_A_h_mV,transfer_gain_50Hz,-0.04662807180140686,-0.04526587086272382,0.04526587086272382,0.006530458109637453,0.20109052722859383,5.0323242150743965,96,univariate_linear
active,active_A_h_mV,electrotonic_distance_50Hz,0.04288027136633927,0.04526587086272382,0.04526587086272382,0.006530458109637453,0.20109052722859383,5.034771023080332,96,univariate_linear
active,active_A_h_mV,dynamic_SMI_abs_50Hz,0.12758317827685062,0.11337493217580033,0.11337493217580033,0.009172854553318247,0.272246153106263,5.057109056561853,96,univariate_linear
active,active_A_h_mV,neck_radius_um,-0.03793556064349025,-0.0388903960933261,0.0388903960933261,0.007892212315669743,0.1910677318313645,5.07892519572979,96,univariate_linear
active,active_A_h_mV,neck_length_um,0.07872552146105674,0.06928920238741183,0.06928920238741183,0.010744131873467188,0.2470807856948526,5.149306300870755,96,univariate_linear
active,active_A_h_mV,head_diameter_um,-0.13375077661844179,-0.149023331524688,0.149023331524688,0.01183926766962714,0.298124768308811,5.052805792722239,96,univariate_linear
active,active_A_h_mV,dendritic_area_scale,-0.061744240353704065,-0.05816603364080304,0.05816603364080304,0.01153657391026136,0.22629133604162846,5.0525669930859625,96,univariate_linear
