degeneracy_type,sample_a,sample_b,SMI_a,SMI_b,relative_SMI_difference,Gamma_h_to_d_a,Gamma_h_to_d_b,Gamma_h_to_d_abs_difference,A_h_mV_a,A_h_mV_b,A_h_relative_difference,max_morphology_relative_difference,radius_a_um,radius_b_um,length_a_um,length_b_um,rho_a_ohm_cm,rho_b_ohm_cm
same_transfer_different_SMI,6,43,0.08036169805645128,0.05145352622543946,0.3597257465951609,0.8695648796940127,0.8836249202640268,0.014060040570014087,14.248272279413229,20.949316792294294,0.31986935799958327,0.42449727304204704,0.11588717461236543,0.11052450555524182,0.7252796154854685,1.016464047127326,143.719876127081,82.71118062919432
similar_outputs_different_parameters,6,52,0.08036169805645128,0.08616802948011949,0.06738382505320994,0.8695648796940127,0.8294889414298762,0.04007593826413658,14.248272279413229,13.993755011264902,0.017863026699459456,0.46725692881962727,0.11588717461236543,0.13279319579983043,0.7252796154854685,1.3614060036078968,143.719876127081,139.4985934258951
similar_outputs_different_parameters,6,71,0.08036169805645128,0.1022107036031981,0.21376435907895638,0.8695648796940127,0.8695931981799896,2.83184859768415e-05,14.248272279413229,15.116647862617064,0.057444983246007726,0.395601986702617,0.11588717461236543,0.11237445077825384,0.7252796154854685,1.1421449989799597,143.719876127081,86.86400760255374
same_transfer_different_SMI,7,11,0.08982569609975524,0.054207074057633545,0.39653043158792456,0.8740909934061931,0.88195119587682,0.007860202470626909,11.514313969750209,7.94970615589536,0.30958056408914997,0.35925000561206527,0.14108382086331323,0.1274031769085055,1.0116630134142666,0.6482230701676724,148.75877656066007,176.67891784213805
same_transfer_different_SMI,7,12,0.08982569609975524,0.049163847967389526,0.452675012807126,0.8740909934061931,0.8839106422449158,0.009819648838722661,11.514313969750209,10.210097299035333,0.1132691599465886,0.41478784608384467,0.14108382086331323,0.09599278648181209,1.0116630134142666,0.5920374911174713,148.75877656066007,106.09343897387537
same_transfer_different_SMI,7,14,0.08982569609975524,0.055146267840842235,0.38607469537892625,0.8740909934061931,0.8706383880741462,0.003452605332046943,11.514313969750209,15.776063185917497,0.270140222306636,0.2031177530580895,0.14108382086331323,0.1297200060495856,1.0116630134142666,1.1100754807590434,148.75877656066007,118.5432281179884
similar_outputs_different_parameters,7,15,0.08982569609975524,0.06330196915191315,0.29527994882874464,0.8740909934061931,0.872071911388972,0.002019082017221119,11.514313969750209,12.310144954794648,0.06464838456142412,0.41084859182375816,0.14108382086331323,0.11154801795332014,1.0116630134142666,1.0911624079386408,148.75877656066007,87.6414426892878
similar_outputs_different_parameters,7,16,0.08982569609975524,0.06694848210958948,0.25468451660825037,0.8740909934061931,0.9051379092390458,0.031046915832852684,11.514313969750209,11.525914799073487,0.0010064996597242452,0.43412030583673733,0.14108382086331323,0.13616632957598895,1.0116630134142666,0.5724795566271499,148.75877656066007,179.03389959879183
similar_outputs_different_parameters,7,21,0.08982569609975524,0.09384339289392024,0.04281278276784566,0.8740909934061931,0.8624547767760472,0.011636216630145912,11.514313969750209,11.644761277277684,0.011202231151102799,0.5003378752435995,0.14108382086331323,0.08996405367018873,1.0116630134142666,0.5054896908200354,148.75877656066007,132.30730097286502
same_transfer_different_SMI,7,28,0.08982569609975524,0.057449011071694686,0.360439010593415,0.8740909934061931,0.8790237956544983,0.004932802248305168,11.514313969750209,21.92935689505702,0.47493608568404533,0.20800612419685247,0.14108382086331323,0.12021314762592686,1.0116630134142666,0.8708887312544712,148.75877656066007,117.81604000801158
same_transfer_different_SMI,7,43,0.08982569609975524,0.05145352622543946,0.42718477607679056,0.8740909934061931,0.8836249202640268,0.009533926857833719,11.514313969750209,20.949316792294294,0.45037281721829353,0.4439912552287845,0.14108382086331323,0.11052450555524182,1.0116630134142666,1.016464047127326,148.75877656066007,82.71118062919432
